#domain,ioc,IPs,C2Domains
"outlookonlines.com","Possible Cobaltstrike DNS C2 Domain","172.105.192.139","iane.outlookonlines.com leno.outlookonlines.com rano.outlookonlines.com"
"pain.capetown","Possible Cobaltstrike DNS C2 Domain","88.214.25.36","a.pain.capetown"
"prdcdn.com","Possible Cobaltstrike DNS C2 Domain","20.104.183.199","cdn.prdcdn.com citrix.prdcdn.com dnsrv.prdcdn.com updates.prdcdn.com"
"recentbeelive.com","Possible Cobaltstrike DNS C2 Domain","45.77.160.60","dns.recentbeelive.com"
"ringatpstul.com","Possible Cobaltstrike DNS C2 Domain","148.72.132.181","dns.ringatpstul.com ringatpstul.com"
"samfund.co","Possible Cobaltstrike DNS C2 Domain","159.223.86.140","assets.samfund.co"
"security-ssl.org","Possible Cobaltstrike DNS C2 Domain","20.172.163.134","bec.security-ssl.org"
"speech-microsoft.com","Possible Cobaltstrike DNS C2 Domain","206.237.30.76","log.speech-microsoft.com logs.speech-microsoft.com"
"sstr.com.br","Possible Cobaltstrike DNS C2 Domain","18.222.142.217","dns.sstr.com.br"
"startupmartec.net","Possible Cobaltstrike DNS C2 Domain","45.77.116.186","dns.startupmartec.net"
"summerevent2023.com","Possible Cobaltstrike DNS C2 Domain","20.120.177.99","summerevent2023.com"
"t0nger.com","Possible Cobaltstrike DNS C2 Domain","8.218.137.213","dns.t0nger.com"
"tcc-internal.com","Possible Cobaltstrike DNS C2 Domain","138.124.180.159","sys.tcc-internal.com"
"tecbanis.com","Possible Cobaltstrike DNS C2 Domain","3.141.100.233","dns.tecbanis.com"
"tgu-future.cn","Possible Cobaltstrike DNS C2 Domain","119.91.214.104","cdn.tgu-future.cn"
"theasiagroupai.com","Possible Cobaltstrike DNS C2 Domain","154.22.123.68","update.theasiagroupai.com"
"thenewbees.org","Possible Cobaltstrike DNS C2 Domain","199.247.30.209","dns.thenewbees.org"
"tqrjfru.cn","Possible Cobaltstrike DNS C2 Domain","114.115.210.125","c1.tqrjfru.cn"
"trailcocompany.com","Possible Cobaltstrike DNS C2 Domain","137.220.55.94","dns.trailcocompany.com"
"trailcosolutions.com","Possible Cobaltstrike DNS C2 Domain","78.141.217.186","dns.trailcosolutions.com"
"unitedromtech.com","Possible Cobaltstrike DNS C2 Domain","8.212.183.173","dns.unitedromtech.com"
"urlz.ws","Possible Cobaltstrike DNS C2 Domain","38.54.86.90","ad.urlz.ws set.urlz.ws su.urlz.ws"
"veriernano.com","Possible Cobaltstrike DNS C2 Domain","5.101.0.245","dns.veriernano.com veriernano.com"
"vip404.eu.org","Possible Cobaltstrike DNS C2 Domain","114.115.157.144","ns1.vip404.eu.org ns2.vip404.eu.org ns3.vip404.eu.org"
"webmailservice.at","Possible Cobaltstrike DNS C2 Domain","20.170.19.248","eu.webmailservice.at"
"weepstakes.com","Possible Cobaltstrike DNS C2 Domain","185.32.126.51","ns1.weepstakes.com www.weepstakes.com"
"wps.bj.cn","Possible Cobaltstrike DNS C2 Domain","43.138.10.232","ns_update1.wps.bj.cn ns_update2.wps.bj.cn"
"www2.eastus.cloudapp.azure.com","Possible Cobaltstrike DNS C2 Domain","20.104.172.62","www2.eastus.cloudapp.azure.com"
"x7z.mom","Possible Cobaltstrike DNS C2 Domain","199.195.251.219","ns8.x7z.mom"
"yuejinjianke.cn","Possible Cobaltstrike DNS C2 Domain","101.43.191.108","ns1.yuejinjianke.cn ns2.yuejinjianke.cn"
"zengjunhe.top","Possible Cobaltstrike DNS C2 Domain","39.105.143.177","ns1.zengjunhe.top ns2.zengjunhe.top"
"zpepc.net","Possible Cobaltstrike DNS C2 Domain","185.106.96.225","ns1.zpepc.net ns2.zpepc.net ns3.zpepc.net"
