#ip,ioc
124.222.64.203,Possible Cobaltstrike C2 IP
124.223.156.185,Possible Cobaltstrike C2 IP
124.223.158.49,Possible Cobaltstrike C2 IP
124.223.189.175,Possible Cobaltstrike C2 IP
124.223.200.131,Possible Cobaltstrike C2 IP
124.223.54.248,Possible Cobaltstrike C2 IP
124.223.79.199,Possible Cobaltstrike C2 IP
124.223.83.171,Possible Cobaltstrike C2 IP
124.223.91.53,Possible Cobaltstrike C2 IP
124.70.179.54,Possible Cobaltstrike C2 IP
124.70.187.37,Possible Cobaltstrike C2 IP
124.70.199.215,Possible Cobaltstrike C2 IP
124.70.82.229,Possible Cobaltstrike C2 IP
124.71.202.107,Possible Cobaltstrike C2 IP
124.71.212.123,Possible Cobaltstrike C2 IP
124.71.215.112,Possible Cobaltstrike C2 IP
124.71.222.33,Possible Cobaltstrike C2 IP
124.71.230.106,Possible Cobaltstrike C2 IP
124.71.5.199,Possible Cobaltstrike C2 IP
124.71.58.136,Possible Cobaltstrike C2 IP
129.211.210.61,Possible Cobaltstrike C2 IP
129.211.222.142,Possible Cobaltstrike C2 IP
13.58.48.135,Possible Cobaltstrike C2 IP
13.59.217.103,Possible Cobaltstrike C2 IP
13.68.216.103,Possible Cobaltstrike C2 IP
13.92.24.109,Possible Cobaltstrike C2 IP
132.145.106.12,Possible PoshC2 IP
132.145.126.111,Possible Cobaltstrike C2 IP
134.122.160.145,Possible Cobaltstrike C2 IP
134.122.160.187,Possible Cobaltstrike C2 IP
134.209.104.32,Possible Cobaltstrike C2 IP
134.209.164.110,Possible Cobaltstrike C2 IP
136.243.103.214,Possible Metasploit C2 IP
137.220.133.105,Possible Cobaltstrike C2 IP
138.197.127.231,Possible Cobaltstrike C2 IP
138.197.62.89,Possible Cobaltstrike C2 IP
138.2.118.254,Possible Cobaltstrike C2 IP
138.68.129.245,Possible Cobaltstrike C2 IP
139.144.113.139,Possible Cobaltstrike C2 IP
139.155.148.229,Possible Cobaltstrike C2 IP
139.155.42.254,Possible Cobaltstrike C2 IP
139.159.193.98,Possible Cobaltstrike C2 IP
139.159.196.229,Possible Cobaltstrike C2 IP
139.159.203.44,Possible Cobaltstrike C2 IP
139.180.212.88,Possible Cobaltstrike C2 IP
139.196.47.225,Possible Cobaltstrike C2 IP
139.198.181.40,Possible Cobaltstrike C2 IP
139.224.188.139,Possible Cobaltstrike C2 IP
139.224.188.165,Possible Cobaltstrike C2 IP
139.224.207.208,Possible Cobaltstrike C2 IP
139.9.135.250,Possible Cobaltstrike C2 IP
14.1.97.42,Possible Cobaltstrike C2 IP
140.210.212.191,Possible Cobaltstrike C2 IP
140.210.214.70,Possible Cobaltstrike C2 IP
142.171.221.6,Possible Cobaltstrike C2 IP
142.93.140.169,Possible Cobaltstrike C2 IP
142.93.143.86,Possible Cobaltstrike C2 IP
142.93.2.25,Possible Cobaltstrike C2 IP
143.92.58.97,Possible Cobaltstrike C2 IP
146.19.170.210,Possible Cobaltstrike C2 IP
146.190.72.135,Possible Cobaltstrike C2 IP
146.56.118.82,Possible Cobaltstrike C2 IP
147.182.170.15,Possible Powershell Empire C2 IP
149.127.215.132,Possible Cobaltstrike C2 IP
150.109.103.16,Possible Cobaltstrike C2 IP
150.158.13.117,Possible Cobaltstrike C2 IP
150.158.135.188,Possible Cobaltstrike C2 IP
150.158.137.72,Possible Cobaltstrike C2 IP
150.158.139.244,Possible Cobaltstrike C2 IP
150.158.161.38,Possible Cobaltstrike C2 IP
150.158.180.97,Possible Cobaltstrike C2 IP
150.158.212.71,Possible Cobaltstrike C2 IP
150.158.31.222,Possible Cobaltstrike C2 IP
150.158.37.125,Possible Cobaltstrike C2 IP
150.158.44.176,Possible Cobaltstrike C2 IP
150.158.45.62,Possible Cobaltstrike C2 IP
