#domain,ioc
service-rbr85ft5-1259685312.cd.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
set.urlz.ws,Possible Cobalt Strike C2 Domain
shehasgone.com,Possible Cobalt Strike C2 Fronted Domain
shop.amazon-aws.fr,Possible Cobalt Strike C2 Domain
shopmoneyweb.com,Possible Cobalt Strike C2 Domain
skynet-i.asuscomm.com,Possible Cobalt Strike C2 Domain
software.cncb.info,Possible Cobalt Strike C2 Domain
stads.10086.cn,Possible Cobalt Strike C2 Fronting Domain
static.chat5188.top,Possible Cobalt Strike C2 Domain
sts.tencentopenapi.xyz,Possible Cobalt Strike C2 Domain
su.urlz.ws,Possible Cobalt Strike C2 Domain
summerevent2023.com,Possible Cobalt Strike C2 Domain
support.ibmxwork.com,Possible Cobalt Strike C2 Domain
sys.tcc-internal.com,Possible Cobalt Strike C2 Domain
t.10nf0x.com,Possible Cobalt Strike C2 Domain
test.qqweixinzhuce.top,Possible Cobalt Strike C2 Domain
tgsk.xyz,Possible Cobalt Strike C2 Domain
thursday.kfc4.icu,Possible Cobalt Strike C2 Fronting Domain
tools.trtyr.top,Possible Cobalt Strike C2 Domain
umfi.live,Possible Cobalt Strike C2 Domain
umo3uuoo57.execute-api.us-east-1.amazonaws.com,Possible Cobalt Strike C2 Domain
update.360safety.xyz,Possible Cobalt Strike C2 Domain
update.aliyunupdate.work,Possible Cobalt Strike C2 Domain
update.microsoftapply.com,Possible Cobalt Strike C2 Domain
update.microsofthk.com,Possible Cobalt Strike C2 Domain
update.microsoftkernel.com,Possible Cobalt Strike C2 Domain
update.mozilia-tm.org,Possible Cobalt Strike C2 Domain
update.winget-east.us,Possible Cobalt Strike C2 Domain
update.winservers-network.com,Possible Cobalt Strike C2 Domain
updates.prdcdn.com,Possible Cobalt Strike C2 Domain
v2ray1.mmsy.top,Possible Cobalt Strike C2 Domain
v2ray2.mmsy.top,Possible Cobalt Strike C2 Domain
veriernano.com,Possible Cobalt Strike C2 Domain
verify.update.nadra-pk.org,Possible Cobalt Strike C2 Domain
view.msedge.live,Possible Cobalt Strike C2 Domain
wps.cncb.info,Possible Cobalt Strike C2 Domain
www.10086cn.xyz,Possible Cobalt Strike C2 Domain
www.10086cn.xyz,Possible Cobalt Strike C2 Fronting Domain
www.amazon.com,Possible Cobalt Strike C2 Fronting Domain
www.baidu12366.xyz,Possible Cobalt Strike C2 Domain
www.checkupdates50.com,Possible Cobalt Strike C2 Domain
www.flash-update.info,Possible Cobalt Strike C2 Domain
www.hainanwctvme.xyz,Possible Cobalt Strike C2 Domain
www.micshcnds.top,Possible Cobalt Strike C2 Domain
www.myhuaweicloud.com,Possible Cobalt Strike C2 Fronting Domain
www.nbcnews.site,Possible Cobalt Strike C2 Fronting Domain
www.sonystore.xyz,Possible Cobalt Strike C2 Domain
www.temt.top,Possible Cobalt Strike C2 Domain
www.test9977.tk,Possible Cobalt Strike C2 Domain
www.updategateway.com,Possible Cobalt Strike C2 Domain
www.weepstakes.com,Possible Cobalt Strike C2 Domain
www.xss.mba,Possible Cobalt Strike C2 Domain
www2.eastus.cloudapp.azure.com,Possible Cobalt Strike C2 Domain
xunleicloud.com,Possible Cobalt Strike C2 Domain
yyns.matrika.cn,Possible Cobalt Strike C2 Domain
z886888.top,Possible Cobalt Strike C2 Domain
zx.regcssv.com,Possible Cobalt Strike C2 Domain
