#domain,ioc
ns.mydhx.top,Possible Cobalt Strike C2 Domain
ns.n0reply.eu.org,Possible Cobalt Strike C2 Domain
ns1.163microsoft.com,Possible Cobalt Strike C2 Domain
ns1.623866.xyz,Possible Cobalt Strike C2 Domain
ns1.a1batr0ss.xyz,Possible Cobalt Strike C2 Domain
ns1.ace3.ru,Possible Cobalt Strike C2 Domain
ns1.akingump.cloud,Possible Cobalt Strike C2 Domain
ns1.anaitea.com,Possible Cobalt Strike C2 Domain
ns1.baidu12366.xyz,Possible Cobalt Strike C2 Domain
ns1.beta-microsoft.com,Possible Cobalt Strike C2 Domain
ns1.bingapp.cloudns.nz,Possible Cobalt Strike C2 Domain
ns1.bookworld-langchao.work,Possible Cobalt Strike C2 Fronted Domain
ns1.bre1ce.top,Possible Cobalt Strike C2 Domain
ns1.centos-yum.xyz,Possible Cobalt Strike C2 Fronted Domain
ns1.chongfan1990.xyz,Possible Cobalt Strike C2 Domain
ns1.crnbchina.top,Possible Cobalt Strike C2 Domain
ns1.data.microsoftdata.site,Possible Cobalt Strike C2 Domain
ns1.dingtaIk.tk,Possible Cobalt Strike C2 Fronted Domain
ns1.dnslogik.com,Possible Cobalt Strike C2 Domain
ns1.domainsec.club,Possible Cobalt Strike C2 Domain
ns1.downsexv.com,Possible Cobalt Strike C2 Domain
ns1.fuckworldxxx.shop,Possible Cobalt Strike C2 Domain
ns1.ga0.co,Possible Cobalt Strike C2 Domain
ns1.goporsche.de,Possible Cobalt Strike C2 Domain
ns1.microsoft2888.top,Possible Cobalt Strike C2 Domain
ns1.mikrokredit.shop,Possible Cobalt Strike C2 Domain
ns1.obenkyou.site,Possible Cobalt Strike C2 Domain
ns1.onesdriveupdate.xyz,Possible Cobalt Strike C2 Domain
ns1.pycharm-edu.us,Possible Cobalt Strike C2 Domain
ns1.sangfor911.top,Possible Cobalt Strike C2 Domain
ns1.sangforssl.xyz,Possible Cobalt Strike C2 Domain
ns1.scalaganai.buzz,Possible Cobalt Strike C2 Domain
ns1.siegemachine.cn,Possible Cobalt Strike C2 Domain
ns1.vip404.eu.org,Possible Cobalt Strike C2 Domain
ns1.we-bank.icu,Possible Cobalt Strike C2 Domain
ns1.weepstakes.com,Possible Cobalt Strike C2 Domain
ns1.xiaopeng111.com,Possible Cobalt Strike C2 Domain
ns1.xtest.asia,Possible Cobalt Strike C2 Domain
ns1.xvmp.eu.org,Possible Cobalt Strike C2 Domain
ns1.zengjunhe.top,Possible Cobalt Strike C2 Domain
ns18.clsr.ca,Possible Cobalt Strike C2 Domain
ns2.163microsoft.com,Possible Cobalt Strike C2 Domain
ns2.227api.com,Possible Cobalt Strike C2 Domain
ns2.623866.xyz,Possible Cobalt Strike C2 Domain
ns2.a1batr0ss.xyz,Possible Cobalt Strike C2 Domain
ns2.ace3.ru,Possible Cobalt Strike C2 Domain
ns2.anaitea.com,Possible Cobalt Strike C2 Domain
ns2.beta-microsoft.com,Possible Cobalt Strike C2 Domain
ns2.bingapp.cloudns.nz,Possible Cobalt Strike C2 Domain
ns2.centos-yum.xyz,Possible Cobalt Strike C2 Fronted Domain
ns2.chongfan1990.xyz,Possible Cobalt Strike C2 Domain
ns2.crnbchina.top,Possible Cobalt Strike C2 Domain
ns2.data.microsoftdata.site,Possible Cobalt Strike C2 Domain
ns2.dingtaIk.tk,Possible Cobalt Strike C2 Fronted Domain
ns2.dnslogik.com,Possible Cobalt Strike C2 Domain
ns2.fuckworldxxx.shop,Possible Cobalt Strike C2 Domain
ns2.ga0.co,Possible Cobalt Strike C2 Domain
ns2.mikrokredit.shop,Possible Cobalt Strike C2 Domain
ns2.obenkyou.site,Possible Cobalt Strike C2 Domain
ns2.onesdriveupdate.xyz,Possible Cobalt Strike C2 Domain
ns2.sangfor911.top,Possible Cobalt Strike C2 Domain
ns2.sangforssl.xyz,Possible Cobalt Strike C2 Domain
ns2.scalaganai.buzz,Possible Cobalt Strike C2 Domain
ns2.siegemachine.cn,Possible Cobalt Strike C2 Domain
ns2.tosohindia.cloudns.nz,Possible Cobalt Strike C2 Domain
ns2.vip404.eu.org,Possible Cobalt Strike C2 Domain
ns2.we-bank.icu,Possible Cobalt Strike C2 Domain
ns2.xiaopeng111.com,Possible Cobalt Strike C2 Domain
ns2.zengjunhe.top,Possible Cobalt Strike C2 Domain
ns3.227api.com,Possible Cobalt Strike C2 Domain
ns3.ace3.ru,Possible Cobalt Strike C2 Domain
ns3.chongfan1990.xyz,Possible Cobalt Strike C2 Domain
ns3.data.microsoftdata.site,Possible Cobalt Strike C2 Domain
ns3.fuckworldxxx.shop,Possible Cobalt Strike C2 Domain
ns3.ga0.co,Possible Cobalt Strike C2 Domain
ns3.sangfor911.top,Possible Cobalt Strike C2 Domain
ns3.sangforssl.xyz,Possible Cobalt Strike C2 Domain
ns3.vip404.eu.org,Possible Cobalt Strike C2 Domain
ns3.xiaopeng111.com,Possible Cobalt Strike C2 Domain
ns4.data.microsoftdata.site,Possible Cobalt Strike C2 Domain
ns8.x7z.mom,Possible Cobalt Strike C2 Domain
ns88.nanyafpg.com,Possible Cobalt Strike C2 Domain
nsff.aallianz.com.tw,Possible Cobalt Strike C2 Domain
nsss.chtcom.tw,Possible Cobalt Strike C2 Domain
nt1.227api.com,Possible Cobalt Strike C2 Domain
nt2.227api.com,Possible Cobalt Strike C2 Domain
nt3.227api.com,Possible Cobalt Strike C2 Domain
nutiensel.com,Possible Cobalt Strike C2 Domain
oa.cncb.info,Possible Cobalt Strike C2 Domain
oak-d5fmc3bzezh2dwhk.z01.azurefd.net,Possible Cobalt Strike C2 Domain
oary.10086.cn,Possible Cobalt Strike C2 Fronting Domain
one.gxzf.site,Possible Cobalt Strike C2 Domain
pak.update.nadra-pk.org,Possible Cobalt Strike C2 Domain
pay1.ptsecurity.net,Possible Cobalt Strike C2 Domain
peace.winexmarkets11.com,Possible Cobalt Strike C2 Domain
permit.peerscash.com,Possible Cobalt Strike C2 Domain
pic.micros0ft-security.org,Possible Cobalt Strike C2 Domain
poop.ndgnetlabs.com,Possible Cobalt Strike C2 Domain
pos.inostage.ru,Possible PoshC2 Domain
powellfamilydentist.com,Possible Cobalt Strike C2 Domain
primo.freshhema.com,Possible Cobalt Strike C2 Fronting Domain
pro.gamorastudio.com,Possible Cobalt Strike C2 Domain
pwn.safetygarden.ru,Possible Cobalt Strike C2 Fronted Domain
pycharm-edu.us,Possible Cobalt Strike C2 Domain
qianxing.rocks,Possible Cobalt Strike C2 Domain
qq.monolthicpower.com,Possible Cobalt Strike C2 Domain
rand.ptsecurity.net,Possible Cobalt Strike C2 Domain
rano.initiativeus.com,Possible Cobalt Strike C2 Domain
rano.outlookonlines.com,Possible Cobalt Strike C2 Domain
recommendation.digihealthlocker.com,Possible Cobalt Strike C2 Domain
redteam.tandemcyberops.co,Possible Cobalt Strike C2 Domain
res.mall.10010.cn,Possible Cobalt Strike C2 Fronted Domain
richusaprod.azurewebsites.net,Possible Cobalt Strike C2 Domain
ringatpstul.com,Possible Cobalt Strike C2 Domain
road.peerscash.com,Possible Cobalt Strike C2 Domain
rockpython.xyz,Possible Cobalt Strike C2 Domain
scripts.jsdel1vr.com,Possible Cobalt Strike C2 Domain
seeusdt.com,Possible Cobalt Strike C2 Domain
server1.bre1ce.top,Possible Cobalt Strike C2 Domain
service-00o1njdx-1317238936.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Fronted Domain
service-1cao6cjs-1312654103.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-1scv7ngm-1318428097.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-23oc1bm0-1322622051.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-2w198e2r-1308639534.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-3s2hxn8v-1308639534.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-6wso9e3t-1257357125.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-6wt8xswb-1307888624.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-aizhwq2o-1255155815.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-b7g5qx9l-1318401771.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-bzbl2uq7-1312255927.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-cia1auek-1314775489.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-d1yss7wi-1314780031.nj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-dj3eqgq2-1316113086.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-dlrbbup7-1309697666.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-fddzhrcc-1320999622.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-ibyz0l1g-1312758067.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-k046gp6x-1252319062.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-l3k4wvla-1322622051.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-lj2mtzly-1318135905.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-ltwr9lk5-1319740527.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-m2easdvn-1303971391.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-mewxt0rn-1251826339.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-ndozu6av-1308639534.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-oa25iv4d-1306428399.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-opiag0j1-1308639534.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-oshdwnr7-1306743016.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
skynet-i.asuscomm.com,Possible Cobalt Strike C2 Domain
social.soft-update.services,Possible Cobalt Strike C2 Domain
software.cncb.info,Possible Cobalt Strike C2 Domain
solid.lionhealthpharmacy.com,Possible Cobalt Strike C2 Domain
spf.lemeridie-fiji.com,Possible Cobalt Strike C2 Domain
spf1.superpeggy.com,Possible Cobalt Strike C2 Domain
srns.matrika.cn,Possible Cobalt Strike C2 Domain
ssa.bphsearch.com,Possible Cobalt Strike C2 Domain
starinteriordesigns.com,Possible Cobalt Strike C2 Domain
summerevent2023.com,Possible Cobalt Strike C2 Domain
test.blueteam.asia,Possible Cobalt Strike C2 Domain
test.mydhx.top,Possible Cobalt Strike C2 Domain
tmuh.tmuh-tw.one,Possible Cobalt Strike C2 Domain
ts.appliedrc.com,Possible Cobalt Strike C2 Domain
ts.ibuilder360.com,Possible Cobalt Strike C2 Domain
twlifeuat.sumikuma.tw,Possible Cobalt Strike C2 Domain
up.union-pay.vip,Possible Cobalt Strike C2 Domain
update.microsoftapply.com,Possible Cobalt Strike C2 Domain
update.microsofthk.com,Possible Cobalt Strike C2 Domain
update.microsoftkernel.com,Possible Cobalt Strike C2 Domain
update.microsoftus.com,Possible Cobalt Strike C2 Domain
update.mis.charitykp.info,Possible Cobalt Strike C2 Domain
update.twittermisc.com,Possible Cobalt Strike C2 Fronted Domain
updatelink.firefoxokt.top,Possible Cobalt Strike C2 Domain
updates.imedicalhub.com,Possible Cobalt Strike C2 Domain
v2ray1.mmsy.top,Possible Cobalt Strike C2 Domain
v2ray2.mmsy.top,Possible Cobalt Strike C2 Domain
verify.update.nadra-pk.org,Possible Cobalt Strike C2 Domain
viapaths.co.uk,Possible Cobalt Strike C2 Domain
viewservice.org,Possible PoshC2 Domain
vigorouseuclid.zscaler.skytapdns.com,Possible Cobalt Strike C2 Domain
webmail.gpuxdrv.com,Possible Cobalt Strike C2 Domain
wordstt182.com,Possible Cobalt Strike C2 Domain
wps.cncb.info,Possible Cobalt Strike C2 Domain
www.consumershop.lenovo.com.cn,Possible Cobalt Strike C2 Fronting Domain
www.consumershop.lenovo.com.cn.d4e97cc6.cdnhwcggk22.com,Possible Cobalt Strike C2 Fronted Domain
www.domainsec.club,Possible Cobalt Strike C2 Domain
www.fayevalentine.world,Possible Cobalt Strike C2 Fronted Domain
www.micrcscft-store.com,Possible Cobalt Strike C2 Domain
www.qzyp.buzz,Possible Cobalt Strike C2 Domain
www.upgrad3.cc,Possible Cobalt Strike C2 Domain
www.weepstakes.com,Possible Cobalt Strike C2 Domain
www.xss.mba,Possible Cobalt Strike C2 Domain
www.ymmxc.top,Possible Cobalt Strike C2 Domain
www.zhaoyr.online,Possible Cobalt Strike C2 Domain
www1.allegiancefithealth.com,Possible Cobalt Strike C2 Domain
www1.ceshi897.cn,Possible Cobalt Strike C2 Domain
www2.ceshi897.cn,Possible Cobalt Strike C2 Domain
www2.eastus.cloudapp.azure.com,Possible Cobalt Strike C2 Domain
www3.ceshi897.cn,Possible Cobalt Strike C2 Domain
wwwrecaro.com,Possible PoshC2 Domain
wylns.matrika.cn,Possible Cobalt Strike C2 Domain
yyns.matrika.cn,Possible Cobalt Strike C2 Domain
zamtel.co.zm.global.prod.fastly.net,Possible Cobalt Strike C2 Domain
zhsq.ppctech.xyz,Possible Cobalt Strike C2 Domain
